,Unnamed: 0,attendance,away_team,away_team_errors,away_team_hits,away_team_runs,date,field_type,game_type,home_team,home_team_errors,home_team_hits,home_team_runs,start_time,venue,day_of_week,temperature,wind_speed,wind_direction,sky,total_runs,game_hours_dec,season,home_team_win,home_team_loss,home_team_outcome,Date,Opponent,Home_Barrels,Home_Barrel %,Home_Max EV,Home_Avg EV,Home_Launch Angle,Home_xBA,Home_xSLG,Home_xWOBA,Home_WOBA,Home_Hard Hit %,,Away_Barrels,Away_Barrel %,Away_Max EV,Away_Avg EV,Away_Launch Angle,Away_xBA,Away_xSLG,Away_xWOBA,Away_WOBA,Away_Hard Hit %
562,2446,21830,Rockies,0,9,6,4/5/2016,on grass,Night Game,D-Backs,0,15,11,6:42 p.m. Local,Chase Field,Tuesday,89,4, out to Rightfield,Sunny,17,3.233333333,regular season,1,0,Win,4/5/2016,Rockies,4,12.9,111.7,87,19.8,0.339,0.583,0.446,0.486,58.1,,0,0,107.6,90.3,14.5,0.272,0.325,0.28,0.343,37.9
576,2447,37042,Cubs,1,9,6,4/5/2016,on grass,Night Game,Angels,0,4,1,7:07 p.m. Local,Angel Stadium of Anaheim,Tuesday,76,8, from Right to Left,Unknown,7,2.566666667,regular season,0,1,Loss,4/5/2016,Cubs,1,3.8,103,84.1,7.7,0.224,0.338,0.243,0.121,34.6,,2,8.7,103.3,81.7,11,0.265,0.439,0.328,0.258,26.1
603,13,13468,Rangers,0,14,7,4/11/2016,on grass,Night Game,Mariners,0,7,3,7:10 p.m. Local,Safeco Field,Monday,57,2, in from Leftfield,Unknown,10,3,regular season,0,1,Loss,4/11/2016,Rangers,1,4.2,111.1,89.3,14.7,0.257,0.428,0.327,0.271,37.5,,1,3.8,111,81.4,11.1,0.283,0.409,0.342,0.331,34.6
631,14,45229,Padres,0,6,4,4/11/2016,on grass,Day Game,Phillies,0,8,3,3:09 p.m. Local,Citizens Bank Park,Monday,66,17, out to Leftfield,Unknown,7,2.85,regular season,0,1,Loss,4/11/2016,Padres,0,0,106.6,83.4,28.3,0.216,0.264,0.219,0.277,30.4,,2,6.5,107.3,80.6,19.6,0.224,0.368,0.297,0.427,22.6
642,15,13371,Angels,0,9,4,4/11/2016,on grass,Night Game,Athletics,0,10,1,7:07 p.m. Local,Oakland-Alameda County Coliseum,Monday,63,11, out to Rightfield,Cloudy,5,3.083333333,regular season,0,1,Loss,4/11/2016,Angels,1,3.7,109.4,82.9,15.2,0.248,0.402,0.29,0.292,40.7,,0,0,106.3,85.4,9.5,0.195,0.229,0.258,0.289,23.3
671,16,24318,Marlins,1,15,10,4/11/2016,on grass,Night Game,Mets,0,7,3,7:11 p.m. Local,Citi Field,Monday,57,15, out to Leftfield,Unknown,13,3.75,regular season,0,1,Loss,4/11/2016,Marlins,1,3.8,111.2,85.9,14.7,0.259,0.393,0.325,0.244,38.5,,1,3.1,110.2,81.1,16.5,0.231,0.35,0.263,0.312,21.9
704,17,40638,White Sox,0,9,4,4/11/2016,on grass,Day Game,Twins,1,6,1,3:16 p.m. Local,Target Field,Monday,42,21, in from Leftfield,Cloudy,5,3.083333333,regular season,0,1,Loss,4/11/2016,White Sox,1,4.2,107.7,82.7,25,0.257,0.355,0.303,0.227,29.2,,3,8.3,108.8,83.2,21.9,0.405,0.614,0.484,0.468,44.4
707,18,43332,Royals,0,11,2,4/11/2016,on grass,Night Game,Astros,0,14,8,7:12 p.m. Local,Minute Maid Park,Monday,73,0, in unknown direction,In Dome,10,2.983333333,regular season,1,0,Win,4/11/2016,Royals,4,13.8,111.1,84.9,15,0.321,0.624,0.421,0.449,48.3,,0,0,108,81.8,17.4,0.287,0.358,0.307,0.258,45.8
747,19,26271,Pirates,1,1,7,4/11/2016,on grass,Day Game,Tigers,0,6,4,1:10 p.m. Local,Comerica Park,Monday,56,9, in from Rightfield,Overcast,11,3.283333333,regular season,0,1,Loss,4/11/2016,Pirates,2,8.3,110.2,82.9,16,0.259,0.455,0.327,0.262,29.2,,1,3.7,107.7,81.7,11.8,0.256,0.413,0.31,0.279,29.6
756,20,40882,Reds,1,7,3,4/11/2016,on grass,Night Game,Cubs,0,3,5,7:06 p.m. Local,Wrigley Field,Monday,48,12, from Left to Right,Cloudy,8,3.05,regular season,1,0,Win,4/11/2016,Reds,2,8.7,109.5,80.7,13,0.261,0.435,0.388,0.267,26.1,,1,4.5,108.9,87.7,15.3,0.247,0.372,0.314,0.256,27.3
782,2387,18119,Braves,1,8,4,4/11/2016,on grass,Night Game,Nationals,0,11,6,7:05 p.m. Local,Nationals Park,Monday,72,10, out to Centerfield,Sunny,10,3.083333333,regular season,1,0,Win,4/11/2016,Braves,1,3.6,111.8,86.7,17.3,0.248,0.345,0.311,0.357,39.3,,4,20,111.2,84.3,14.8,0.29,0.587,0.409,0.369,45
799,2388,47608,Brewers,1,6,1,4/11/2016,on grass,Day Game,Cardinals,0,19,10,3:18 p.m. Local,Busch Stadium III,Monday,50,13, out to Rightfield,Cloudy,11,3,regular season,1,0,Win,4/11/2016,Brewers,4,11.4,113.6,88.4,15.5,0.336,0.534,0.378,0.508,45.7,,0,0,106.5,83.3,22.2,0.384,0.499,0.394,0.358,35.3
