,Unnamed: 0,attendance,away_team,away_team_errors,away_team_hits,away_team_runs,date,field_type,game_type,home_team,home_team_errors,home_team_hits,home_team_runs,start_time,venue,day_of_week,temperature,wind_speed,wind_direction,sky,total_runs,game_hours_dec,season,home_team_win,home_team_loss,home_team_outcome,Date,Opponent,Home_Barrels,Home_Barrel %,Home_Max EV,Home_Avg EV,Home_Launch Angle,Home_xBA,Home_xSLG,Home_xWOBA,Home_WOBA,Home_Hard Hit %,,Away_Barrels,Away_Barrel %,Away_Max EV,Away_Avg EV,Away_Launch Angle,Away_xBA,Away_xSLG,Away_xWOBA,Away_WOBA,Away_Hard Hit %
32257,609,25796,Mets,1,12,4,9/13/2016,on grass,Night Game,Nationals,0,8,3,7:06 p.m. Local,Nationals Park,Tuesday,86,9, out to Leftfield,Sunny,7,3.366666667,regular season,0,1,Loss,9/13/2016,Mets,1,4.2,113.5,83.5,10.6,0.189,0.243,0.202,0.226,37.5,,1,4,106.4,84.2,10.7,0.192,0.282,0.232,0.27,28
32275,610,38338,Rays,0,7,6,9/13/2016,on turf,Night Game,Blue Jays,0,9,2,7:08 p.m. Local,Rogers Centre,Tuesday,77,11, out to Rightfield,Cloudy,8,3.166666667,regular season,0,1,Loss,9/13/2016,Rays,1,3.7,109.6,89.4,14.7,0.252,0.361,0.288,0.3,44.4,,3,13,110,82.5,25.3,0.25,0.532,0.349,0.265,39.1
32308,611,44060,Cubs,0,4,2,9/13/2016,on grass,Night Game,Cardinals,0,7,4,7:16 p.m. Local,Busch Stadium III,Tuesday,82,6, out to Leftfield,Cloudy,6,2.85,regular season,1,0,Win,9/13/2016,Cubs,2,10.5,109.2,89,17.9,0.208,0.412,0.313,0.341,47.4,,1,4,107.5,83.5,20,0.226,0.363,0.322,0.309,28
32342,612,41231,Padres,0,12,6,9/13/2016,on grass,Night Game,Giants,0,12,4,7:17 p.m. Local,AT&T Park,Tuesday,63,10, out to Centerfield,Sunny,10,3.45,regular season,0,1,Loss,9/13/2016,Padres,2,6.5,107.6,87.6,11.9,0.32,0.484,0.391,0.415,38.7,,1,3.3,107.3,84.7,19.9,0.246,0.379,0.303,0.353,26.7
32380,613,16190,Pirates,1,7,5,9/13/2016,on grass,Night Game,Phillies,0,6,3,7:07 p.m. Local,Citizens Bank Park,Tuesday,79,7, out to Rightfield,Sunny,8,3.2,regular season,0,1,Loss,9/13/2016,Pirates,1,5.9,104.7,80.7,-5.4,0.136,0.194,0.215,0.234,41.2,,3,12,107,84.6,29.5,0.267,0.501,0.326,0.178,40
32421,614,32615,Dodgers,0,5,0,9/13/2016,on grass,Night Game,Yankees,0,8,3,7:09 p.m. Local,Yankee Stadium III,Tuesday,73,7, from Right to Left,Sunny,3,3.033333333,regular season,1,0,Win,9/13/2016,Dodgers,1,4.2,102.3,81.9,12.6,0.226,0.365,0.319,0.409,37.5,,1,3.7,111.5,81.8,15.5,0.229,0.378,0.3,0.314,22.2
32447,615,29523,Athletics,1,6,5,9/13/2016,on grass,Night Game,Royals,2,10,4,6:15 p.m. Local,Kauffman Stadium,Tuesday,83,14, from Left to Right,Cloudy,9,2.933333333,regular season,0,1,Loss,9/13/2016,Athletics,1,2.9,107.7,83.7,10.8,0.225,0.294,0.25,0.27,23.5,,2,7.7,112.1,83.7,15.5,0.26,0.445,0.314,0.243,30.8
32453,616,22133,Rangers,0,6,3,9/13/2016,on grass,Night Game,Astros,1,4,2,7:10 p.m. Local,Minute Maid Park,Tuesday,73,0, in unknown direction,In Dome,5,2.383333333,regular season,0,1,Loss,9/13/2016,Rangers,2,10,109.4,83.4,21.9,0.228,0.473,0.309,0.216,50,,2,5.9,107.2,85.1,16.3,0.27,0.406,0.312,0.345,38.2
32508,617,26393,Twins,0,13,8,9/13/2016,on grass,Night Game,Tigers,0,6,1,7:10 p.m. Local,Comerica Park,Tuesday,80,14, in from Centerfield,Sunny,9,2.8,regular season,0,1,Loss,9/13/2016,Twins,0,0,105.1,83.8,18.3,0.225,0.286,0.264,0.22,18.5,,0,0,109.1,83.1,2.1,0.239,0.343,0.346,0.377,26.1
32534,618,12926,Brewers,2,4,4,9/13/2016,on grass,Night Game,Reds,0,10,6,7:10 p.m. Local,Great American Ball Park,Tuesday,78,10, out to Leftfield,Sunny,10,2.583333333,regular season,1,0,Win,9/13/2016,Brewers,1,3.4,106.1,80.2,10.3,0.266,0.406,0.294,0.334,41.4,,1,4.2,109.1,78.6,17.1,0.196,0.301,0.314,0.277,16.7
32570,619,15588,Indians,0,6,1,9/13/2016,on grass,Night Game,White Sox,1,9,8,7:10 p.m. Local,U.S. Cellular Field,Tuesday,83,8, out to Centerfield,Unknown,9,2.616666667,regular season,1,0,Win,9/13/2016,Indians,0,0,108.1,82.2,5,0.217,0.265,0.265,0.326,25,,2,6.1,103.9,80.5,18.9,0.285,0.418,0.334,0.344,15.2
32595,620,38041,Orioles,1,9,6,9/13/2016,on grass,Night Game,Red Sox,0,9,3,7:09 p.m. Local,Fenway Park,Tuesday,80,16, out to Rightfield,Sunny,9,3.483333333,regular season,0,1,Loss,9/13/2016,Orioles,1,3.4,106.4,84.1,24.2,0.234,0.358,0.301,0.321,10.3,,0,0,106.9,82.5,18.3,0.251,0.374,0.328,0.329,40
32606,621,20125,Marlins,1,10,7,9/13/2016,on grass,Night Game,Braves,1,9,5,7:10 p.m. Local,Turner Field,Tuesday,84,8, from Right to Left,Cloudy,12,3.4,regular season,0,1,Loss,9/13/2016,Marlins,3,11.1,110.6,87.8,14.4,0.303,0.512,0.394,0.324,40.7,,0,0,103.8,81.6,4.3,0.191,0.277,0.219,0.165,36.4
32640,622,20897,Rockies,0,8,4,9/13/2016,on grass,Night Game,D-Backs,0,17,11,6:40 p.m. Local,Chase Field,Tuesday,93,11, in from Centerfield,Cloudy,15,3.466666667,regular season,1,0,Win,9/13/2016,Rockies,1,3.3,111.6,88.4,11.9,0.289,0.457,0.377,0.543,53.3,,2,7.7,110.4,86.8,23.4,0.303,0.571,0.388,0.273,34.6
32662,623,32139,Mariners,1,10,8,9/13/2016,on grass,Night Game,Angels,1,3,0,7:07 p.m. Local,Angel Stadium of Anaheim,Tuesday,67,5, out to Leftfield,Sunny,8,2.616666667,regular season,0,1,Loss,9/13/2016,Mariners,0,0,106,85,2.9,0.151,0.22,0.162,0.088,36.8,,2,9.5,110.3,85.2,8.2,0.217,0.365,0.286,0.285,47.6
32707,638,31805,Phillies,0,7,2,9/11/2016,on grass,Day Game,Nationals,1,4,3,1:37 p.m. Local,Nationals Park,Sunday,84,9, from Left to Right,Cloudy,5,2.816666667,regular season,1,0,Win,9/11/2016,Phillies,2,8.3,104.9,87.6,11.5,0.309,0.532,0.394,0.21,37.5,,3,9.7,109.1,81.6,19.4,0.268,0.454,0.349,0.441,22.6
32725,639,47816,Red Sox,2,11,11,9/11/2016,on turf,Day Game,Blue Jays,1,8,8,1:08 p.m. Local,Rogers Centre,Sunday,70,11, in from Centerfield,Sunny,19,3.766666667,regular season,0,1,Loss,9/11/2016,Red Sox,2,9.1,109.5,83.8,20.1,0.233,0.452,0.357,0.364,27.3,,2,9.1,112,87.6,28.6,0.151,0.386,0.264,0.265,36.4
32758,640,44703,Brewers,1,4,2,9/11/2016,on grass,Day Game,Cardinals,0,5,1,1:16 p.m. Local,Busch Stadium III,Sunday,77,1, out to Leftfield,Sunny,3,2.55,regular season,0,1,Loss,9/11/2016,Brewers,3,13,107.2,81.6,16.9,0.222,0.439,0.294,0.182,34.8,,0,0,109.8,82.1,13.5,0.219,0.279,0.247,0.262,20
32799,641,25133,Rockies,0,7,3,9/11/2016,on grass,Day Game,Padres,0,5,2,1:42 p.m. Local,Petco Park,Sunday,76,12, from Left to Right,Sunny,5,3.05,regular season,0,1,Loss,9/11/2016,Rockies,0,0,106.2,84.9,21.8,0.221,0.303,0.271,0.21,34.6,,4,16,113.2,90.4,15.7,0.241,0.488,0.363,0.377,48
32831,642,26744,Reds,1,13,8,9/11/2016,on grass,Day Game,Pirates,1,7,0,1:36 p.m. Local,PNC Park,Sunday,73,8, out to Leftfield,Overcast,8,2.933333333,regular season,0,1,Loss,9/11/2016,Reds,0,0,104.1,81,14.5,0.188,0.233,0.254,0.259,17.4,,1,3.1,113.6,83.4,4.4,0.243,0.29,0.292,0.333,21.9
32844,643,13610,Mariners,0,12,3,9/11/2016,on grass,Day Game,Athletics,1,7,2,1:08 p.m. Local,Oakland-Alameda County Coliseum,Sunday,61,10, in from Rightfield,Cloudy,5,2.866666667,regular season,0,1,Loss,9/11/2016,Mariners,1,4,113.8,86.5,12.2,0.272,0.411,0.322,0.257,36,,4,12.5,109.6,86.5,14,0.289,0.589,0.397,0.375,37.5
32901,644,33087,Rays,1,9,4,9/11/2016,on grass,Day Game,Yankees,0,7,2,1:12 p.m. Local,Yankee Stadium III,Sunday,76,8, out to Rightfield,Cloudy,6,2.966666667,regular season,0,1,Loss,9/11/2016,Rays,0,0,101.3,85.9,23,0.206,0.283,0.226,0.238,33.3,,2,8.7,106.9,80.1,8.9,0.221,0.374,0.278,0.288,17.4
32929,645,20301,Indians,1,13,7,9/11/2016,on grass,Day Game,Twins,4,5,1,1:12 p.m. Local,Target Field,Sunday,75,19, from Right to Left,Sunny,8,3.216666667,regular season,0,1,Loss,9/11/2016,Indians,0,0,108.3,83.5,13,0.149,0.179,0.205,0.205,19,,3,11.5,110.7,87.9,23.8,0.29,0.579,0.419,0.432,50
32945,646,20188,Dodgers,2,4,0,9/11/2016,on grass,Day Game,Marlins,0,10,3,1:12 p.m. Local,Marlins Park,Sunday,75,0, in unknown direction,In Dome,3,2.433333333,regular season,1,0,Win,9/11/2016,Dodgers,0,0,106.5,77.8,5.5,0.282,0.338,0.276,0.274,18.5,,1,5.6,107.6,77.3,19.1,0.189,0.309,0.223,0.172,11.1
32963,647,31939,Cubs,0,10,9,9/11/2016,on grass,Night Game,Astros,1,7,5,7:09 p.m. Local,Minute Maid Park,Sunday,73,0, in unknown direction,In Dome,14,3.116666667,regular season,0,1,Loss,9/11/2016,Cubs,4,14.8,106,84.5,10.9,0.326,0.575,0.419,0.353,44.4,,3,10.7,103.4,85.9,31.1,0.212,0.458,0.292,0.266,28.6
33018,648,33069,Orioles,0,8,3,9/11/2016,on grass,Day Game,Tigers,0,5,1,1:11 p.m. Local,Comerica Park,Sunday,67,6, out to Centerfield,Sunny,4,3.383333333,regular season,0,1,Loss,9/11/2016,Orioles,1,4,107.2,81.9,21.6,0.219,0.295,0.279,0.226,20,,1,3,103.6,84.8,8.4,0.326,0.481,0.385,0.435,39.4
33050,649,20107,Royals,0,10,2,9/11/2016,on grass,Day Game,White Sox,0,2,0,1:11 p.m. Local,U.S. Cellular Field,Sunday,73,5, out to Rightfield,Cloudy,2,2.983333333,regular season,0,1,Loss,9/11/2016,Royals,0,0,106.4,78.3,26.8,0.166,0.199,0.244,0.163,21.1,,5,15.6,114.2,85.7,24,0.324,0.609,0.411,0.373,56.3
33056,650,32829,Mets,0,11,10,9/11/2016,on grass,Day Game,Braves,0,11,3,1:43 p.m. Local,Turner Field,Sunday,87,7, from Left to Right,Cloudy,13,2.933333333,regular season,0,1,Loss,9/11/2016,Mets,3,10.3,108.3,88.2,16.1,0.366,0.598,0.43,0.358,41.4,,2,7.4,103.9,82.5,20.5,0.24,0.423,0.294,0.334,37
33090,651,26008,Giants,0,8,5,9/11/2016,on grass,Day Game,D-Backs,0,11,3,1:11 p.m. Local,Chase Field,Sunday,75,0, in unknown direction,In Dome,8,3.316666667,regular season,0,1,Loss,9/11/2016,Giants,2,9.1,105.3,82.3,15.9,0.249,0.397,0.289,0.349,36.4,,1,3,106,82.5,12.3,0.27,0.408,0.348,0.395,36.4
33112,652,35052,Rangers,0,5,2,9/11/2016,on grass,Day Game,Angels,0,8,3,12:38 p.m. Local,Angel Stadium of Anaheim,Sunday,81,7, out to Centerfield,Sunny,5,2.516666667,regular season,1,0,Win,9/11/2016,Rangers,5,20.8,106.1,85.9,14.5,0.267,0.524,0.354,0.392,45.8,,0,0,97.7,82,15,0.191,0.231,0.185,0.117,19.2
33147,671,25412,Phillies,1,6,4,9/8/2016,on grass,Night Game,Nationals,1,5,1,7:05 p.m. Local,Nationals Park,Thursday,93,5, out to Rightfield,Sunny,5,2.8,regular season,0,1,Loss,9/8/2016,Phillies,0,0,108.1,86.4,25.8,0.261,0.407,0.329,0.202,33.3,,2,7.7,107.8,86.2,21.1,0.262,0.425,0.331,0.355,38.5
33158,672,40416,Brewers,2,17,12,9/8/2016,on grass,Night Game,Cardinals,1,11,5,6:15 p.m. Local,Busch Stadium III,Thursday,75,2, out to Rightfield,Overcast,17,3.25,regular season,0,1,Loss,9/8/2016,Brewers,1,3.2,107.5,84.3,14.9,0.246,0.356,0.288,0.339,29,,3,13,106.5,81.4,25.5,0.196,0.451,0.328,0.394,26.1
33174,673,17493,Rangers,0,8,3,9/8/2016,on grass,Night Game,Mariners,0,11,6,7:10 p.m. Local,Safeco Field,Thursday,65,2, out to Rightfield,Unknown,9,3.366666667,regular season,1,0,Win,9/8/2016,Rangers,1,4.3,106.6,81.7,14.2,0.29,0.408,0.358,0.426,39.1,,2,8.3,103,82.8,18.6,0.225,0.398,0.29,0.338,37.5
33190,674,26053,Rockies,2,8,1,9/8/2016,on grass,Night Game,Padres,0,12,14,7:10 p.m. Local,Petco Park,Thursday,71,7, out to Rightfield,Sunny,15,3.433333333,regular season,1,0,Win,9/8/2016,Rockies,3,10,110.6,82.4,9,0.304,0.554,0.42,0.427,46.7,,1,3.2,108.6,85.7,15.4,0.231,0.397,0.293,0.367,38.7
33206,675,22288,Reds,0,6,1,9/8/2016,on grass,Night Game,Pirates,1,11,4,7:07 p.m. Local,PNC Park,Thursday,84,14, out to Leftfield,Cloudy,5,2.466666667,regular season,1,0,Win,9/8/2016,Reds,2,7.7,103.7,88.1,20.1,0.271,0.435,0.353,0.384,42.3,,1,5.3,109.1,79.4,34.8,0.109,0.194,0.162,0.244,5.3
33225,676,27631,Rays,1,12,4,9/8/2016,on grass,Night Game,Yankees,0,10,5,7:07 p.m. Local,Yankee Stadium III,Thursday,84,13, out to Leftfield,Cloudy,9,3.35,regular season,1,0,Win,9/8/2016,Rays,3,10,112.3,85.9,16.8,0.307,0.559,0.379,0.368,26.7,,2,9.1,110.1,81.5,16.2,0.192,0.316,0.246,0.263,22.7
33229,677,15275,Astros,0,9,7,9/8/2016,on grass,Day Game,Indians,0,9,10,12:10 p.m. Local,Progressive Field,Thursday,87,15, out to Rightfield,Sunny,17,3.233333333,regular season,1,0,Win,9/8/2016,Astros,2,7.7,112.5,81.5,21.1,0.274,0.496,0.395,0.422,26.9,,3,8.1,109.5,86.8,11.6,0.376,0.638,0.447,0.506,37.8
33255,678,19894,Braves,0,13,4,9/7/2016,on grass,Night Game,Nationals,0,15,5,8:02 p.m. Local,Nationals Park,Wednesday,79,7, out to Centerfield,Unknown,9,4.65,regular season,1,0,Win,9/7/2016,Braves,1,3,109.3,81.5,13,0.273,0.381,0.327,0.369,39.4,,2,7.4,111.2,85.9,15.5,0.235,0.407,0.307,0.297,37
33291,679,10537,Orioles,0,10,6,9/7/2016,on turf,Day Game,Rays,1,13,7,1:10 p.m. Local,Tropicana Field,Wednesday,72,0, in unknown direction,In Dome,13,3.416666667,regular season,1,0,Win,9/7/2016,Orioles,3,13.6,107.3,82.6,19.3,0.313,0.546,0.399,0.41,50,,1,4,104.5,82.5,10.6,0.206,0.313,0.261,0.286,24
33312,680,15434,Rangers,0,7,3,9/7/2016,on grass,Night Game,Mariners,1,8,8,7:11 p.m. Local,Safeco Field,Wednesday,65,1, in unknown direction,Unknown,11,2.5,regular season,1,0,Win,9/7/2016,Rangers,4,18.2,107.6,85,26.4,0.301,0.635,0.423,0.397,50,,3,10.7,106.8,85.4,6.9,0.26,0.454,0.305,0.176,32.1
33347,681,31662,Red Sox,0,9,7,9/7/2016,on grass,Night Game,Padres,1,7,2,6:11 p.m. Local,Petco Park,Wednesday,70,6, out to Rightfield,Cloudy,9,3.016666667,regular season,0,1,Loss,9/7/2016,Red Sox,1,4.3,104.8,76.7,5.4,0.238,0.319,0.257,0.223,21.7,,4,13.8,109.8,86.6,13,0.206,0.484,0.309,0.412,31
33379,682,21523,Cardinals,0,9,3,9/7/2016,on grass,Night Game,Pirates,1,11,4,7:09 p.m. Local,PNC Park,Wednesday,84,6, from Right to Left,Sunny,7,3.016666667,regular season,1,0,Win,9/7/2016,Cardinals,2,8,105.5,82.6,15.4,0.277,0.449,0.314,0.359,40,,3,11.5,106.5,82.5,11,0.241,0.45,0.325,0.36,30.8
33392,683,11866,Angels,1,2,1,9/7/2016,on grass,Day Game,Athletics,0,10,4,12:37 p.m. Local,Oakland-Alameda County Coliseum,Wednesday,79,4, out to Rightfield,Sunny,5,3.183333333,regular season,1,0,Win,9/7/2016,Angels,1,4,107.3,83.6,23.3,0.262,0.408,0.355,0.369,36,,1,3.3,108.3,83.1,14.4,0.25,0.367,0.294,0.328,33.3
33449,684,30501,Blue Jays,1,5,0,9/7/2016,on grass,Night Game,Yankees,0,9,2,7:09 p.m. Local,Yankee Stadium III,Wednesday,78,10, from Left to Right,Cloudy,2,2.8,regular season,1,0,Win,9/7/2016,Blue Jays,1,4.8,108.8,86.6,13.5,0.276,0.338,0.283,0.318,47.6,,1,3.3,109.5,82.6,17.9,0.208,0.364,0.29,0.335,36.7
33477,685,17972,Royals,1,11,5,9/7/2016,on grass,Night Game,Twins,1,12,6,7:10 p.m. Local,Target Field,Wednesday,74,6, in from Rightfield,Cloudy,11,3.133333333,regular season,1,0,Win,9/7/2016,Royals,4,15.4,111.3,84.8,15.6,0.234,0.503,0.318,0.394,30.8,,1,3.8,108.5,85,18.5,0.33,0.451,0.381,0.279,34.6
33485,686,23832,Cubs,0,3,1,9/7/2016,on grass,Night Game,Brewers,0,5,2,7:13 p.m. Local,Miller Park,Wednesday,80,0, in unknown direction,In Dome,3,2.9,regular season,1,0,Win,9/7/2016,Cubs,2,11.1,110.2,81.9,8.3,0.213,0.39,0.315,0.314,38.9,,4,13.3,112.3,87.7,14.1,0.283,0.577,0.394,0.361,43.3
33523,687,16592,Phillies,1,4,0,9/7/2016,on grass,Night Game,Marlins,0,13,6,7:10 p.m. Local,Marlins Park,Wednesday,76,0, in unknown direction,In Dome,6,2.866666667,regular season,1,0,Win,9/7/2016,Phillies,1,3.1,112.1,80.7,11.1,0.277,0.359,0.287,0.386,12.5,,0,0,108.3,84.4,8.8,0.285,0.342,0.31,0.29,30.8
33594,689,23961,Giants,0,13,5,9/7/2016,on grass,Night Game,Rockies,0,11,6,6:41 p.m. Local,Coors Field,Wednesday,82,4, out to Leftfield,Cloudy,11,3.266666667,regular season,1,0,Win,9/7/2016,Giants,3,11.1,105.5,85.2,15.3,0.27,0.509,0.352,0.422,44.4,,1,4.8,104.5,78.9,33.1,0.171,0.278,0.224,0.143,23.8
33611,690,12063,Astros,0,12,5,9/7/2016,on grass,Night Game,Indians,0,12,6,7:10 p.m. Local,Progressive Field,Wednesday,87,1, out to Rightfield,Unknown,11,3.1,regular season,1,0,Win,9/7/2016,Astros,1,3.3,108.8,81.9,13.6,0.271,0.403,0.351,0.406,36.7,,0,0,106.8,84.7,14.5,0.194,0.231,0.232,0.229,34.8
33652,691,13936,Mets,0,13,6,9/7/2016,on grass,Day Game,Reds,1,13,3,12:37 p.m. Local,Great American Ball Park,Wednesday,87,8, in from Rightfield,Cloudy,9,3.483333333,regular season,0,1,Loss,9/7/2016,Mets,0,0,107.4,81.8,12.7,0.224,0.285,0.279,0.371,32,,3,10.7,112.2,84.9,13.1,0.276,0.475,0.35,0.388,35.7
33688,692,13078,Tigers,1,10,4,9/7/2016,on grass,Day Game,White Sox,0,13,7,1:50 p.m. Local,U.S. Cellular Field,Wednesday,90,6, from Right to Left,Unknown,11,3.3,regular season,1,0,Win,9/7/2016,Tigers,0,0,110.8,81.7,12.5,0.315,0.393,0.34,0.355,25.8,,2,9.5,102.6,84,17.2,0.194,0.343,0.258,0.166,28.6
33705,693,17161,Braves,2,11,7,9/6/2016,on grass,Night Game,Nationals,0,12,9,7:06 p.m. Local,Nationals Park,Tuesday,89,14, in from Leftfield,Sunny,16,3.633333333,regular season,1,0,Win,9/6/2016,Braves,2,7.1,107,83.4,16.5,0.252,0.404,0.313,0.382,32.1,,0,0,102.6,80.5,11.8,0.214,0.254,0.28,0.222,12.5
33741,694,12207,Orioles,1,14,11,9/6/2016,on turf,Night Game,Rays,1,8,2,7:10 p.m. Local,Tropicana Field,Tuesday,72,0, in unknown direction,In Dome,13,3.133333333,regular season,0,1,Loss,9/6/2016,Orioles,2,7.1,113.7,82,18.5,0.324,0.497,0.371,0.278,32.1,,0,0,113.5,81.4,22.2,0.203,0.27,0.258,0.244,26.9
33762,695,14615,Rangers,2,15,10,9/6/2016,on grass,Night Game,Mariners,1,12,7,7:10 p.m. Local,Safeco Field,Tuesday,62,1, in from Leftfield,Cloudy,17,3.733333333,regular season,0,1,Loss,9/6/2016,Rangers,2,6.1,114.7,88.3,8.4,0.373,0.596,0.432,0.379,54.5,,2,6.5,110.5,89.1,9,0.281,0.427,0.32,0.413,38.7
33797,696,30644,Red Sox,0,10,5,9/6/2016,on grass,Night Game,Padres,0,9,1,7:10 p.m. Local,Petco Park,Tuesday,72,8, from Right to Left,Cloudy,6,3.066666667,regular season,0,1,Loss,9/6/2016,Red Sox,0,0,104.9,85.5,19.3,0.207,0.27,0.208,0.261,37,,4,14.3,110.2,83.8,16.4,0.259,0.473,0.32,0.374,39.3
33829,697,20369,Cardinals,2,15,9,9/6/2016,on grass,Night Game,Pirates,0,12,7,7:06 p.m. Local,PNC Park,Tuesday,87,7, out to Centerfield,Cloudy,16,3.6,regular season,0,1,Loss,9/6/2016,Cardinals,2,6.5,108.4,83,13.4,0.297,0.443,0.337,0.347,38.7,,2,6.7,103.6,82.9,18.5,0.289,0.494,0.359,0.411,30
33842,698,12298,Angels,0,5,2,9/6/2016,on grass,Night Game,Athletics,1,4,3,7:07 p.m. Local,Oakland-Alameda County Coliseum,Tuesday,66,14, out to Rightfield,Sunny,5,2.233333333,regular season,1,0,Win,9/6/2016,Angels,0,0,107,83.3,7.1,0.2,0.252,0.232,0.169,31.8,,2,8.7,109.6,81.6,22.9,0.245,0.382,0.305,0.343,21.7
33899,699,27532,Blue Jays,1,11,6,9/6/2016,on grass,Night Game,Yankees,0,7,7,7:08 p.m. Local,Yankee Stadium III,Tuesday,77,16, from Left to Right,Unknown,13,3.35,regular season,1,0,Win,9/6/2016,Blue Jays,2,8,108.5,85.7,17.9,0.255,0.509,0.356,0.372,28,,1,3.4,102.6,83.5,13.2,0.288,0.365,0.286,0.33,37.9
33927,700,22194,Royals,0,10,10,9/6/2016,on grass,Night Game,Twins,1,8,3,7:10 p.m. Local,Target Field,Tuesday,74,2, out to Centerfield,Unknown,13,3.116666667,regular season,0,1,Loss,9/6/2016,Royals,2,7.1,105,82.7,25.2,0.219,0.4,0.275,0.318,28.6,,7,20,115,85.2,26.2,0.377,0.741,0.503,0.442,57.1
33935,701,32888,Cubs,2,8,5,9/6/2016,on grass,Night Game,Brewers,0,16,12,7:10 p.m. Local,Miller Park,Tuesday,89,10, from Right to Left,Unknown,17,2.816666667,regular season,1,0,Win,9/6/2016,Cubs,1,3.2,107.3,87.1,14.4,0.325,0.507,0.382,0.489,48.4,,3,8.8,117,85.8,11.3,0.276,0.497,0.379,0.449,35.3
33973,702,16169,Phillies,1,10,4,9/6/2016,on grass,Night Game,Marlins,0,7,3,7:12 p.m. Local,Marlins Park,Tuesday,74,0, in unknown direction,In Dome,7,3,regular season,0,1,Loss,9/6/2016,Phillies,0,0,106.9,83.2,15.8,0.223,0.297,0.253,0.261,33.3,,1,4,113.7,84.5,16.2,0.248,0.407,0.323,0.364,44
34044,704,22437,Giants,0,8,3,9/6/2016,on grass,Night Game,Rockies,1,4,2,6:42 p.m. Local,Coors Field,Tuesday,75,7, in from Centerfield,Sunny,5,3.033333333,regular season,0,1,Loss,9/6/2016,Giants,1,5,104.4,82.4,18.6,0.18,0.271,0.235,0.186,40,,5,14.7,106.8,82.6,16.8,0.356,0.709,0.458,0.5,50
34061,705,11023,Astros,1,7,4,9/6/2016,on grass,Night Game,Indians,0,7,3,7:11 p.m. Local,Progressive Field,Tuesday,84,4, from Left to Right,Sunny,7,3.05,regular season,0,1,Loss,9/6/2016,Astros,1,3.7,105.6,80.5,20.1,0.184,0.332,0.245,0.281,29.6,,0,0,110.8,87.8,14.4,0.251,0.327,0.261,0.176,34.8
34102,706,13359,Mets,1,8,5,9/6/2016,on grass,Night Game,Reds,1,5,3,7:11 p.m. Local,Great American Ball Park,Tuesday,85,10, out to Leftfield,Sunny,8,3.133333333,regular season,0,1,Loss,9/6/2016,Mets,0,0,105.5,83.4,20.5,0.157,0.229,0.232,0.25,33.3,,1,3.6,112.8,85.2,14.7,0.248,0.446,0.368,0.379,46.4
34138,707,15155,Tigers,0,7,0,9/6/2016,on grass,Night Game,White Sox,0,8,2,7:11 p.m. Local,U.S. Cellular Field,Tuesday,91,13, out to Centerfield,Cloudy,2,2.9,regular season,1,0,Win,9/6/2016,Tigers,1,4.8,114.4,84.2,24.4,0.221,0.351,0.288,0.331,23.8,,2,7.1,106.1,84,8.1,0.324,0.507,0.406,0.363,28.6
34160,722,46025,Astros,0,11,7,9/4/2016,on grass,Day Game,Rangers,1,11,6,2:08 p.m. Local,Globe Life Park in Arlington,Sunday,90,9, in from Rightfield,Cloudy,13,3.366666667,regular season,0,1,Loss,9/4/2016,Astros,2,7.4,106.1,84.3,9.1,0.241,0.41,0.319,0.366,44.4,,4,13.8,104.6,88.3,10.7,0.23,0.501,0.326,0.359,37.9
34191,723,13884,Blue Jays,0,10,5,9/4/2016,on turf,Day Game,Rays,0,8,3,1:11 p.m. Local,Tropicana Field,Sunday,72,0, in unknown direction,In Dome,8,3.3,regular season,0,1,Loss,9/4/2016,Blue Jays,1,4.2,103.6,80.9,21.9,0.194,0.292,0.232,0.237,29.2,,0,0,109.4,79.4,-2.2,0.209,0.251,0.27,0.334,17.9
34212,724,24033,Angels,0,10,4,9/4/2016,on grass,Day Game,Mariners,0,8,2,1:10 p.m. Local,Safeco Field,Sunday,61,2, out to Rightfield,Cloudy,6,3,regular season,0,1,Loss,9/4/2016,Angels,2,7.1,108.9,88,12.7,0.331,0.52,0.387,0.316,53.6,,3,14.3,104.7,87.3,21.7,0.246,0.509,0.32,0.19,38.1
34249,725,25318,Brewers,0,11,10,9/4/2016,on grass,Day Game,Pirates,2,6,0,1:38 p.m. Local,PNC Park,Sunday,81,4, out to Centerfield,Sunny,10,3.166666667,regular season,0,1,Loss,9/4/2016,Brewers,3,10.7,103.9,84.3,21.1,0.284,0.546,0.361,0.22,32.1,,1,3.4,103,82.5,12.5,0.267,0.383,0.307,0.281,34.5
34278,726,21322,Braves,0,8,2,9/4/2016,on grass,Day Game,Phillies,0,5,0,1:38 p.m. Local,Citizens Bank Park,Sunday,78,10, in from Rightfield,Sunny,2,3.233333333,regular season,0,1,Loss,9/4/2016,Braves,0,0,111.6,84,15.6,0.162,0.214,0.223,0.21,36.8,,1,4.3,104.9,80.7,21.7,0.243,0.377,0.311,0.311,26.1
34292,727,25139,Red Sox,2,6,0,9/4/2016,on grass,Day Game,Athletics,1,2,1,1:07 p.m. Local,Oakland-Alameda County Coliseum,Sunday,65,7, out to Rightfield,Sunny,1,2.65,regular season,1,0,Win,9/4/2016,Red Sox,0,0,100.6,80.3,16.3,0.12,0.17,0.2,0.159,13.6,,4,16.7,105.2,81.4,18.4,0.216,0.456,0.326,0.378,37.5
